Complexity,Price,Dev_Time,Quality,Usability,Mktg_Spend,Sentiment,p_accept,Success,Rating,Revenue
High,1023.2206,4.0,0.7656,0.7187,144.7066,0.4312,0.9004,1,4.9441,1452729.7567
Medium,1704.5489,2.0,0.62,0.7528,173.5634,0.268,0.8703,0,4.6741,1144015.2959
High,2046.6432,6.0,0.7211,0.7305,132.3347,0.1334,0.2956,0,4.6868,1318823.0597
Medium,2098.6222,9.0,0.6337,0.5534,143.5663,0.1805,0.1134,1,4.2455,134460.8658
Low,1848.9408,2.0,0.8711,0.4775,107.7715,0.1438,0.8149,1,4.2836,2928049.8702
High,1997.4724,8.0,0.9356,0.8109,137.5308,0.1051,0.3835,0,4.4892,490240.2979
High,1872.9324,6.0,0.5724,0.7079,186.4329,0.3439,0.3993,0,3.7486,843988.218
High,2241.2941,7.0,0.7833,0.8524,57.9484,-0.3508,0.0859,0,4.9676,126565.4557
Low,1095.0415,2.0,0.6408,0.6733,208.2105,0.2689,0.9684,1,4.5672,1073507.4479
Medium,2122.283,8.0,0.45,0.4692,106.3129,0.2003,0.0516,0,3.2366,147096.9341
Medium,934.1041,2.0,0.6049,0.8249,185.8294,0.4719,0.9771,1,4.442,2021198.146
High,2105.1978,9.0,0.623,0.6244,177.9023,0.1374,0.0902,0,3.8767,359673.6448
Medium,1208.2248,7.0,0.9171,0.7313,179.873,0.3083,0.8914,1,4.1616,999320.1108
High,1215.5299,4.0,0.6671,0.5829,171.0177,0.1992,0.7138,1,4.1664,1029260.7644
Medium,1083.8605,2.0,0.8859,0.9266,240.8613,0.2217,0.9918,1,4.6691,952910.7042
Low,1538.7427,6.0,0.6122,0.5485,151.1605,0.2104,0.5824,1,3.4748,598887.8928
Medium,1513.887,2.0,0.8195,0.6294,195.7315,0.0031,0.9043,1,3.5427,941113.6116
Low,1194.8301,6.0,0.6985,0.6961,190.3844,-0.1533,0.7817,1,3.308,873359.9289
High,1724.4898,8.0,0.887,0.5162,97.0172,0.2186,0.2315,0,4.174,407993.6064
Medium,1529.4023,4.0,0.6928,0.7296,106.3779,0.1066,0.7094,0,4.2139,429589.6846
High,2141.1572,3.0,0.8306,0.9218,134.3794,0.1407,0.7322,1,4.3018,1540896.6256
Medium,2331.7982,3.0,0.8478,0.6064,105.2619,0.161,0.5585,1,4.7057,2404520.1663
High,1908.8195,3.0,0.7259,0.7393,122.9819,0.3817,0.6898,1,4.4309,2129296.2924
High,1207.7025,2.0,0.8106,0.35,127.8012,0.3298,0.7924,1,4.3723,726366.6041
High,1428.671,3.0,0.7739,0.6742,170.169,-0.1669,0.713,1,4.0859,592113.9166
Low,2269.2582,7.0,0.7062,0.633,93.7581,-0.0584,0.1827,0,3.678,461659.6091
